  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00 39898.26      0.02     3567     0.01     0.01  Hash#size
  0.00 39898.27      0.01     1189     0.01     0.01  Digest::Class#initialize
  0.00 39898.28      0.01      351     0.03    30.17  Meta::Database#selectTracksForDisc
  0.00 39898.29      0.01      352     0.03     0.74  SQLite3::Database#transaction
  0.00 39898.30      0.01      352     0.03     0.77  Meta::Database#beginLUW
  0.00 39898.31      0.01     1189     0.01     0.08  Digest::Class#digest
  0.00 39898.32      0.01      213     0.05     0.09  Rational#+
  0.00 39898.33      0.01      213     0.05     0.09  Float#to_r
  0.00 39898.34      0.01     2292     0.00     0.00  Bignum#div
  0.00 39898.35      0.01      760     0.01     0.01  Pry::Command#match
  0.00 39898.36      0.01     1009     0.01     0.01  Regexp#escape
  0.00 39898.37      0.01       24     0.42     0.42  OpenStruct#new_ostruct_member
  0.00 39898.38      0.01      108     0.09     0.93  Gem::Specification#add_dependency_with_type
  0.00 39898.39      0.01       92     0.11     0.98  Gem::Specification#add_development_dependency
  0.00 39898.40      0.01      235     0.04     0.04  Array#include?
  0.00 39898.41      0.01       40     0.25     2.50  Gem::Version#<=>
  0.00 39898.42      0.01       17     0.59    12.35  Array#select
  0.00 39898.43      0.01      380     0.03     0.03  File#file?
  0.00 39898.44      0.01        1    10.00    10.00  SQLite3::Database#initialize
  0.00 39898.45      0.01       13     0.77     1.54  Enumerable.sort_by
  0.00 39898.46      0.01      164     0.06     0.49  Gem::Requirement#initialize
  0.00 39898.47      0.01        1    10.00    10.00  Pry::Hooks#hook_exists?
  0.00 39898.48      0.01      164     0.06     0.43  Array#map!
  0.00 39898.49      0.01       26     0.38     0.38  Thread#current
  0.00 39898.50      0.01       76     0.13     0.13  Gem::Specification#full_name
  0.00 39898.51      0.01      424     0.02     0.02  Class#inherited
  0.00 39898.52      0.01      114     0.09     0.35  Gem::Specification#contains_requirable_file?
  0.00 39898.53      0.01      114     0.09     0.18  Gem::Specification#full_gem_path
  0.00 39898.54      0.01       16     0.63     0.63  Gem::Specification#executables=
  0.00 39898.55      0.01     1280     0.01     0.01  Integer#chr
  0.00 39898.56      0.01      256     0.04     0.04  Fixnum#&
  0.00 39898.57      0.01       23     0.43     0.43  Module#alias_method
  0.00 39898.58      0.01      980     0.01     0.01  Regexp#=~
  0.00 39898.59      0.01      789     0.01     0.01  Fixnum#divmod
  0.00 39898.60      0.01     1682     0.01     0.01  Symbol#to_s
  0.00 39898.61      0.01      318     0.03     0.06  Module#define_method
  0.00 39898.62      0.01      168     0.06     0.36  Gem::Requirement#parse
  0.00 39898.63      0.01       97     0.10     0.10  Module#module_function
  0.00 39898.64      0.01       46     0.22     0.43  Pry::ClassCommand#inherited
  0.00 39898.65      0.01     1440     0.01     0.01  Bignum#%
  0.00 39898.66      0.01      569     0.02     0.05  Time#now
  0.00 39898.67      0.01     3012     0.00     1.71  Meta::Database#insertTrack2Work
  0.00 39898.68      0.01     1440     0.01     0.01  Bignum#<
  0.00 39898.69      0.01     1429     0.01     0.02  Meta::Core::Disc#initialize
  0.00 39898.70      0.01     1189     0.01     0.01  Digest::Base#finish
  0.00 39898.71      0.01      351     0.03     0.03  Meta::MusicBrainz::Release#initialize
  0.00 39898.72      0.01      351     0.03    30.20  Meta::Core::Disc#fetchTracks
  0.00 39898.73      0.01     2378     0.00     0.00  Digest::Base#reset
  0.00 39898.74      0.01      213     0.05     0.14  Rational#quo
  0.00 39898.75      0.01     1196     0.01     0.01  Array#pack
  0.00 39898.76      0.01      126     0.08     0.08  ManualEntries#getEntry
  0.00 39898.76      0.00        1     0.00 441330.00  TopFolder#scan
  0.00 39898.76      0.00        8     0.00     1.25  Gem::Deprecate.deprecate
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint::Text#output
  0.00 39898.76      0.00       40     0.00     0.00  String#intern
