Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#hook_exists?
  0.00      0.002     0.000     0.000     0.002        1   URI::Parser#initialize
  0.00      0.000     0.000     0.000     0.000        1   OpenSSL::X509::Store#flags=
  0.00      0.000     0.000     0.000     0.000        5   SQLite3::Statement#bind_parameter_count
  0.00      0.000     0.000     0.000     0.000        5   String#empty?
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#parse!
  0.00      0.059     0.000     0.000     0.059       18  *CodeRay::PluginHost#plugin_hash
  0.00      0.000     0.000     0.000     0.000        1   IO#sync=
  0.00      0.000     0.000     0.000     0.000        5   Regexp#hash
  0.00      0.000     0.000     0.000     0.000        1   <Class::Dir>#pwd
  0.00      0.000     0.000     0.000     0.000        4   PP::PPMethods#pop_inspect_key
  0.00      0.000     0.000     0.000     0.000        5   String#===
  0.00      2.448     0.000     0.000     2.448        1   Meta::Database#resetTables
  0.00      0.000     0.000     0.000     0.000        5   Kernel#method
  0.00      0.000     0.000     0.000     0.000        1   Pry::History#restore_default_behavior
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint::Breakable#output
  0.00      0.000     0.000     0.000     0.000        3   OptionParser::List#each_option
  0.00      0.001     0.000     0.000     0.001        4   OptionParser#on
  0.00      0.000     0.000     0.000     0.000        2   Pry::Helpers::BaseHelpers#windows?
  0.00      0.074     0.000     0.000     0.074        1   CodeRay::PluginHost#[]
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#has_rdoc=
  0.00      0.000     0.000     0.000     0.000        2   OptionParser::List#initialize
  0.00      0.000     0.000     0.000     0.000        4   Hash#update
  0.00      0.000     0.000     0.000     0.000        1   ManualEntries#initialize
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::Plugin#register_for
  0.00      0.000     0.000     0.000     0.000        3   String#upcase
  0.00      0.000     0.000     0.000     0.000        1   NilClass#to_s
  0.00      0.000     0.000     0.000     0.000        1   MatchData#[]
  0.00      0.000     0.000     0.000     0.000        2   <Class::Module>#allocate
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint#breakable
  0.00      0.001     0.000     0.000     0.001        1   <Class::PP>#pp
  0.00      0.000     0.000     0.000     0.000        1   SignalException#initialize
  0.00      0.000     0.000     0.000     0.000        1   Interrupt#initialize
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#parse_in_order
  0.00      0.029     0.000     0.000     0.029        1   Enumerable#detect
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#reset
  0.00      0.000     0.000     0.000     0.000        3   Array#+
  0.00      0.001     0.000     0.000     0.001        1   Kernel#pretty_inspect
